"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","Accuracy","Kappa","AccuracySD","KappaSD"
"515",1,18,0,0.75,2,1,200,0.810079720468948,0.603189391747567,0.012727209467911,0.0268281685243965
"517",1,18,0,1,0,0.5,200,0.812647543846368,0.608474717407802,0.0158732507529983,0.0329314679180069
"519",1,18,0,1,0,1,200,0.829449630556628,0.643847786884343,0.012861844632173,0.0266845425670027
"521",1,18,0,1,1,0.5,200,0.796700579992265,0.5756910703666,0.0118837768558644,0.0246765728421269
"523",1,18,0,1,1,1,200,0.821750618712107,0.627928664446682,0.012441984973207,0.0260874862416935
"525",1,18,0,1,2,0.5,200,0.79403205176455,0.570529874494551,0.0112317489688138,0.0229844689232993
"527",1,18,0,1,2,1,200,0.815966626748244,0.61625142845651,0.0107436835259955,0.0219234673243219
"529",1,18,0.01,0.75,0,0.5,200,0.799645313944931,0.581641027713421,0.0125202183944681,0.0262340483929828
"531",1,18,0.01,0.75,0,1,200,0.817404103641292,0.618019717735538,0.0128945761089489,0.0267283922213136
"533",1,18,0.01,0.75,1,0.5,200,0.794305308962659,0.570453896219388,0.0132420835106331,0.0277131196771227
"535",1,18,0.01,0.75,1,1,200,0.815179003598574,0.614198416178827,0.012891797418623,0.0267589315827878
"537",1,18,0.01,0.75,2,0.5,200,0.786229069266193,0.554013289843048,0.0128511524675857,0.0267248488571411
"539",1,18,0.01,0.75,2,1,200,0.813502103576971,0.610713558672549,0.0129634307853592,0.0264392040840917
"541",1,18,0.01,1,0,0.5,200,0.807205783158747,0.597174436322658,0.00957523633710594,0.0198565033832433
"543",1,18,0.01,1,0,1,200,0.821851741234898,0.628128980210342,0.0136672430065796,0.0283300859494509
"545",1,18,0.01,1,1,0.5,200,0.796220612029455,0.574047714546708,0.0123832423233732,0.0261638652679553
"547",1,18,0.01,1,1,1,200,0.820483027455329,0.624961158278455,0.0127234539691766,0.0263681210158959
"549",1,18,0.01,1,2,0.5,200,0.792081683724483,0.566606025413069,0.010437167876232,0.0218396076366655
"551",1,18,0.01,1,2,1,200,0.815898004831011,0.615737591678245,0.0108118524980113,0.0224271755594138
"553",1,18,0.1,0.75,0,0.5,200,0.796804266594171,0.575974199135342,0.0101395589572677,0.0213513578253777
"555",1,18,0.1,0.75,0,1,200,0.809361982499205,0.601484248520436,0.0128203413388972,0.026054112081163
"557",1,18,0.1,0.75,1,0.5,200,0.789788803170069,0.561194901536065,0.0130456888661552,0.0273078849792194
"559",1,18,0.1,0.75,1,1,200,0.812134969687449,0.60751127610401,0.0117460655436169,0.0244916093441174
"561",1,18,0.1,0.75,2,0.5,200,0.785579954584519,0.552397991079116,0.0112588899936801,0.0235050542761111
"563",1,18,0.1,0.75,2,1,200,0.811894775066063,0.607379733260148,0.0109786916175359,0.0226947641547956
"565",1,18,0.1,1,0,0.5,200,0.799300869884682,0.580560604176775,0.014368066985615,0.0302426827293769
"567",1,18,0.1,1,0,1,200,0.813468935048951,0.610219840997617,0.0125200544840717,0.0260885037978266
"569",1,18,0.1,1,1,0.5,200,0.798582956483832,0.579372633784733,0.013824271791912,0.0297258265934432
"571",1,18,0.1,1,1,1,200,0.813161277697611,0.609972683176704,0.0138810110584464,0.0285136008818052
"573",1,18,0.1,1,2,0.5,200,0.792184985157168,0.566694205340612,0.0113128365420005,0.0236979992124243
"575",1,18,0.1,1,2,1,200,0.810732592940473,0.604708546894256,0.0114450755903941,0.0234016651547954
"145",0.05,22,0,0.75,0,0.5,200,0.828150205534514,0.640144966197836,0.0130159444639068,0.0269974522662835
"147",0.05,22,0,0.75,0,1,200,0.826198749446412,0.635948360087247,0.0111253444220035,0.0232619550031427
"149",0.05,22,0,0.75,1,0.5,200,0.82897061240373,0.641899564820928,0.0133847225875283,0.0274650274495434
"151",0.05,22,0,0.75,1,1,200,0.828935265254412,0.642310843655055,0.0129582089339412,0.0265386338688698
"153",0.05,22,0,0.75,2,0.5,200,0.827739597901298,0.639438140971213,0.0117143667078086,0.0239302160430534
"155",0.05,22,0,0.75,2,1,200,0.829380622965129,0.642943506093415,0.0113241576746809,0.0235895250404004
"157",0.05,22,0,1,0,0.5,200,0.833487856392234,0.651691100235374,0.0105052182114871,0.0216133122940705
"159",0.05,22,0,1,0,1,200,0.825479816539394,0.635134204447701,0.0117495992489325,0.0245793969222678
"161",0.05,22,0,1,1,0.5,200,0.833555740907195,0.651750270523977,0.0118808182376082,0.0243011355700482
"163",0.05,22,0,1,1,1,200,0.827053519636623,0.638318909550075,0.013636917215375,0.0282740514164424
"165",0.05,22,0,1,2,0.5,200,0.831775610231403,0.648222120855387,0.0115219869080814,0.0238633899130407
"167",0.05,22,0,1,2,1,200,0.826129565052969,0.636527442520451,0.011491147229498,0.0238166206517526
"169",0.05,22,0.01,0.75,0,0.5,200,0.830202189598819,0.644582675929935,0.0121664363888619,0.0255037671052439
"171",0.05,22,0.01,0.75,0,1,200,0.82647211346161,0.636532273428666,0.0126017038049656,0.0266216423742532
"173",0.05,22,0.01,0.75,1,0.5,200,0.828457722843996,0.64085492683832,0.0115181967047032,0.0235451455981396
"175",0.05,22,0.01,0.75,1,1,200,0.827156891703507,0.638400516215151,0.0113853500318905,0.0233257970085923
"177",0.05,22,0.01,0.75,2,0.5,200,0.826164069425913,0.63615735065621,0.0119307126326442,0.0249174862135628
"179",0.05,22,0.01,0.75,2,1,200,0.829619868498098,0.643472197500054,0.0125073184495826,0.0262174670167277
"181",0.05,22,0.01,1,0,0.5,200,0.834377342280789,0.653648129902577,0.0125042129080223,0.0257100167782636
"183",0.05,22,0.01,1,0,1,200,0.825959116507593,0.636000431812758,0.0113861397378986,0.0235409478026664
"185",0.05,22,0.01,1,1,0.5,200,0.831912924988664,0.648476092206402,0.0127674962094579,0.0262346624307513
"187",0.05,22,0.01,1,1,1,200,0.82636919676525,0.636947718356014,0.0121069050171093,0.0250618304573838
"189",0.05,22,0.01,1,2,0.5,200,0.830236025905002,0.645081660507328,0.0126444258835507,0.0261749542586308
"191",0.05,22,0.01,1,2,1,200,0.826300575425212,0.636787077868043,0.0110059577433558,0.0227030082654097
"193",0.05,22,0.1,0.75,0,0.5,200,0.827499860742766,0.638924076679585,0.011842417291206,0.024622926096677
"195",0.05,22,0.1,0.75,0,1,200,0.826473095558348,0.636868058168876,0.0144985960980245,0.0303457827570995
"197",0.05,22,0.1,0.75,1,0.5,200,0.827157594077276,0.638194311852032,0.010942509345284,0.0224077070081708
